id,name,school,dispel,mechanic,attributes,category,cast_time_ms,cooldown_ms,category_cooldown_ms,power_type,mana_cost,mana_cost_pct,range_yards,radius_yards,duration_ms,effect1,effect2,effect3,spell_icon_id,spell_weight,coeff_weight,raw_overrides,notes
11113,Blast Wave,4,0,0,65536,250,0,0,30000,0,0,7,0.0,,6000,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 153, ""chain_targets"": 0, ""die_sides"": 33, ""implicit_target_a"": 22, ""implicit_target_b"": 15, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 10.2667, ""radius_yards"": 10.0, ""trigger_spell"": 0, ""type"": 2}","{""amplitude"": 0, ""apply_aura"": 33, ""base_points"": -51, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 22, ""implicit_target_b"": 15, ""mechanic"": 11, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": 10.0, ""trigger_spell"": 0, ""type"": 6}","{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 79, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 22, ""implicit_target_b"": 15, ""mechanic"": 0, ""misc_value"": 100, ""points_per_level"": 0.0, ""radius_yards"": 10.0, ""trigger_spell"": 0, ""type"": 98}",292,,,"{""AttributesEx"": 136, ""AuraDescription_Lang_Mask"": 16712190, ""AuraDescription_Lang_enUS"": ""Dazed."", ""BaseLevel"": 30, ""CastingTimeIndex"": 1, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": ""A wave of flame radiates outward from the caster, damaging all enemies caught within the blast for $s1 Fire damage, knocking them back and dazing them for $d."", ""EffectBonusMultiplier_1"": 0.19300000369548798, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 101, ""RangeIndex"": 1, ""SpellClassMask_2"": 64, ""SpellClassSet"": 3, ""SpellLevel"": 30, ""SpellPriority"": 50, ""SpellVisualID_1"": 963, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500}",single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 30); RealPointsPerLevel from rank1→level-60 slope; coefficient/cast_time_ms/mana_cost_pct from max rank; MaxLevel set to 80
11366,Pyroblast,4,0,0,65536,290,5000,0,0,0,0,22,35.0,,12000,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 140, ""chain_targets"": 0, ""die_sides"": 47, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 12.105, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 2}","{""amplitude"": 3000, ""apply_aura"": 3, ""base_points"": 13, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 1.075, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}",,184,,,"{""AuraDescription_Lang_Mask"": 16712190, ""AuraDescription_Lang_enUS"": ""$s2 Fire damage every $t2 seconds."", ""BaseLevel"": 20, ""CastingTimeIndex"": 6, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": ""Hurls an immense fiery boulder that causes $s1 Fire damage and an additional $o2 Fire damage over $d."", ""EffectBonusMultiplier_1"": 1.149999976158142, ""EffectBonusMultiplier_2"": 0.05000000074505806, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""FacingCasterFlags"": 1, ""InterruptFlags"": 15, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 101, ""Speed"": 24.0, ""SpellClassMask_1"": 4194304, ""SpellClassMask_3"": 8, ""SpellClassSet"": 3, ""SpellLevel"": 20, ""SpellPriority"": 50, ""SpellVisualID_1"": 2253, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500}",single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 20); RealPointsPerLevel from rank1→level-60 slope; coefficient/cast_time_ms/mana_cost_pct from max rank; MaxLevel set to 80
11426,Ice Barrier,16,1,0,327680,471,0,0,30000,0,0,21,0.0,,60000,"{""amplitude"": 0, ""apply_aura"": 69, ""base_points"": 1999, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 1, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 127, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}",,,32,,1.0,"{""AuraDescription_Lang_Mask"": 16712190, ""AuraDescription_Lang_enUS"": ""Absorbs damage."", ""BaseLevel"": 40, ""CastingTimeIndex"": 1, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": ""Instantly shields you, absorbing $s1 damage.  Lasts $d.  While the shield holds, spellcasting will not be delayed by damage."", ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""InterruptFlags"": 8, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 101, ""RangeIndex"": 1, ""SpellClassMask_2"": 1, ""SpellClassMask_3"": 8, ""SpellClassSet"": 3, ""SpellLevel"": 40, ""SpellPriority"": 50, ""SpellVisualID_1"": 4302, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500}","EDITED for docs/frost-mage-redesign.md sec 2 (Ice Barrier): ""Flat absorb value replaced with a scaling formula: 2000 base plus 1.0 spell power coefficient, modified by Versatility."" base_points -> 1999 (2000, -1 convention), old per-level-only growth (points_per_level 19.4) zeroed out now that spell power coefficient carries scaling instead. Coefficient applied via spell_bonus_data (direct_bonus=1.0) in the accompanying pending SQL, same mechanism as Glacial Spike/Flurry. ""Modified by Versatility"" is not verified here - per project memory Versatility is already wired as a general stat, but confirm it actually touches SPELL_AURA_SCHOOL_ABSORB during playtest; if not, that's a small follow-up, not a data change. single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 40); RealPointsPerLevel from rank1→level-60 slope; coefficient/cast_time_ms/mana_cost_pct from max rank; MaxLevel set to 80"
31661,Dragon's Breath,4,1,0,1114112,1215,0,0,20000,0,0,7,0.0,,5000,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 369, ""chain_targets"": 0, ""die_sides"": 61, ""implicit_target_a"": 104, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 9.04, ""radius_yards"": 10.0, ""trigger_spell"": 0, ""type"": 2}","{""amplitude"": 0, ""apply_aura"": 5, ""base_points"": -1, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 104, ""implicit_target_b"": 0, ""mechanic"": 2, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": 10.0, ""trigger_spell"": 0, ""type"": 6}","{""amplitude"": 0, ""apply_aura"": 33, ""base_points"": -51, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 104, ""implicit_target_b"": 0, ""mechanic"": 11, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": 10.0, ""trigger_spell"": 0, ""type"": 6}",1548,,,"{""AttributesEx"": 136, ""AuraDescription_Lang_Mask"": 16712190, ""AuraDescription_Lang_enUS"": ""Disoriented."", ""AuraInterruptFlags"": 4718592, ""BaseLevel"": 50, ""CastingTimeIndex"": 1, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": ""Targets in a cone in front of the caster take $s1 Fire damage and are Disoriented for $d.  Any direct damaging attack will revive targets.  Turns off your attack when used."", ""EffectBonusMultiplier_1"": 0.19300000369548798, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 100, ""ProcCharges"": 1, ""ProcTypeMask"": 139944, ""RangeIndex"": 1, ""SpellClassMask_1"": 8388608, ""SpellClassSet"": 3, ""SpellLevel"": 50, ""SpellPriority"": 50, ""SpellVisualID_1"": 7860, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500}",single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 50); RealPointsPerLevel from rank1→level-60 slope; coefficient/cast_time_ms/mana_cost_pct from max rank; MaxLevel set to 80
44425,Arcane Barrage,64,0,0,65536,1189,0,0,3000,0,0,18,30.0,,,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 385, ""chain_targets"": 0, ""die_sides"": 85, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 22.5385, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 2}",,,3376,,,"{""AuraDescription_Lang_Mask"": 16712188, ""BaseLevel"": 60, ""CastingTimeIndex"": 1, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": ""Launches several missiles at the enemy target, causing $s1 Arcane damage."", ""EffectBonusMultiplier_1"": 0.7139999866485596, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""FacingCasterFlags"": 1, ""InterruptFlags"": 8, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 101, ""Speed"": 24.0, ""SpellClassMask_2"": 32768, ""SpellClassSet"": 3, ""SpellLevel"": 60, ""SpellPriority"": 50, ""SpellVisualID_1"": 9947, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500}","single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 60); RealPointsPerLevel from rank1→top rank's own top level (86, chain has a gap at 60) slope (anchor rank 44781, rank 3); coefficient/cast_time_ms/mana_cost_pct from max rank (44781, rank 3); MaxLevel set to 80"
44457,Living Bomb,4,1,0,67174400,0,0,0,0,0,0,22,35.0,,12000,"{""amplitude"": 3000, ""apply_aura"": 3, ""base_points"": 152, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 7.3846, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}","{""amplitude"": 0, ""apply_aura"": 4, ""base_points"": 44460, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}",,3000,,,"{""AttributesEx6"": 8388608, ""AuraDescription_Lang_Mask"": 16712190, ""AuraDescription_Lang_enUS"": ""Causes $s1 Fire damage every $t1 sec.  After $d or when the spell is dispelled, the target explodes causing $44461s1 Fire damage to all enemies within $44461a1 yards."", ""BaseLevel"": 60, ""CastingTimeIndex"": 1, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": ""The target becomes a Living Bomb, taking $o1 Fire damage over $d.  After $d or when the spell is dispelled, the target explodes dealing $44461s1 Fire damage to all enemies within $44461a1 yards."", ""EffectBonusMultiplier_1"": 0.20000000298023224, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EffectSpellClassMaskA_1"": 12582935, ""EquippedItemClass"": -1, ""InterruptFlags"": 8, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 101, ""SpellClassMask_2"": 131072, ""SpellClassMask_3"": 8, ""SpellClassSet"": 3, ""SpellLevel"": 60, ""SpellPriority"": 50, ""SpellVisualID_1"": 10692, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500}","single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 60); RealPointsPerLevel from rank1→top rank's own top level (86, chain has a gap at 60) slope (anchor rank 55360, rank 3); coefficient/cast_time_ms/mana_cost_pct from max rank (55360, rank 3); MaxLevel set to 80 | effect2 (explosion spell-ID reference) excluded from the formula -- see Gotchas: embedded spell-ID base_points"
44572,Deep Freeze,16,1,0,327680,1221,0,0,30000,0,0,9,30.0,,5000,"{""amplitude"": 0, ""apply_aura"": 12, ""base_points"": -1, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 12, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}",,,2939,,,"{""AttributesEx4"": 512, ""AttributesEx6"": 8388608, ""AuraDescription_Lang_Mask"": 16712190, ""AuraDescription_Lang_enUS"": ""Stunned and Frozen."", ""BaseLevel"": 60, ""CastingTimeIndex"": 1, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": ""Stuns the target for $d.  Only usable on Frozen targets.  Deals ${$71757m1*$<mult>} to ${$71757M1*$<mult>} damage to targets permanently immune to stuns."", ""EffectBasePoints_2"": -1, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EffectDieSides_2"": 1, ""EquippedItemClass"": -1, ""InterruptFlags"": 15, ""NameSubtext_Lang_Mask"": 16712190, ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 101, ""SpellClassMask_2"": 1048576, ""SpellClassSet"": 3, ""SpellDescriptionVariableID"": 167, ""SpellLevel"": 60, ""SpellPriority"": 50, ""SpellVisualID_1"": 9963, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500, ""TargetAuraState"": 4}","MOVED from npc.csv to mage.csv for docs/frost-mage-redesign.md sec 2 (Deep Freeze: ""Converted from a talent to a learnable spell. Damage component removed.""). No data change needed - cooldown (30000ms), stun duration (5000ms), and the frozen-only usability gate (TargetAuraState=4, i.e. AURA_STATE_FROZEN - native engine check in SpellInfo.cpp, CheckCasterAuraStates) already match the spec exactly as pulled from live data. Two real gaps remain, both C++/wiring, not spell-row data: (1) reachability - nothing teaches this spell any more once it leaves the old Talent.dbc row, fixed via the trainer_spell row (level 42) in the accompanying pending SQL; (2) the native TargetAuraState check only recognizes the *global* AURA_STATE_FROZEN flag (a real freeze), not FrostMageRework::IsFrozenFor's Fingers-of-Frost/Shattering-Cold cases (spell_mage.cpp) - needs a CheckCast override to accept those too, same as the spec's Interaction Rules intend. ""No longer deals damage to stun-immune targets"": the existing spell_mage_deep_freeze_immunity_state script (71761 -> 71757, already registered in spell_mage.cpp) is what currently provides that damage fallback for the *old* talent - not verified whether/how 71761 actually attaches to a Deep Freeze cast (no field on 44572 itself points at it), so left unresolved rather than guessed; needs checking before assuming the new instance is damage-free. pulled from existing data"
11069,Improved Fireball,4,0,0,262608,0,0,0,0,0,0,0,0.0,,,"{""amplitude"": 0, ""apply_aura"": 107, ""base_points"": -101, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 1, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 10, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}",,,185,,,"{""AuraDescription_Lang_Mask"": 16712188, ""CastingTimeIndex"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": ""Reduces the casting time of your Fireball spell by $/1000;S1 sec."", ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EffectSpellClassMaskA_1"": 1, ""EffectSpellClassMaskB_1"": 1, ""EquippedItemClass"": -1, ""ImplicitTargetA_2"": 1, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": ""Rank 1"", ""Name_Lang_Mask"": 16712190, ""ProcChance"": 101, ""RangeIndex"": 1, ""SpellClassSet"": 3, ""SpellLevel"": 1, ""SpellPriority"": 50}",pulled from existing data
11070,Improved Frostbolt,1,0,0,464,0,0,0,0,0,0,0,0.0,,,"{""amplitude"": 0, ""apply_aura"": 108, ""base_points"": 2, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 1, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}",,,188,,,"{""AuraDescription_Lang_Mask"": 16712188, ""CastingTimeIndex"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": ""Increases the damage of your Frostbolt and Ice Lance spells by $s1%."", ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EffectSpellClassMaskA_1"": 131104, ""EquippedItemClass"": -1, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": ""Rank 1"", ""Name_Lang_Mask"": 16712190, ""ProcChance"": 101, ""RangeIndex"": 1, ""SpellClassSet"": 3, ""SpellLevel"": 1, ""SpellPriority"": 50}",pulled from existing data
11071,Frostbite,16,0,0,464,0,0,0,0,0,0,0,0.0,,,"{""amplitude"": 0, ""apply_aura"": 42, ""base_points"": -1, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 1, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 12494, ""type"": 6}",,,119,,,"{""AttributesEx3"": 67633152, ""AuraDescription_Lang_Mask"": 16712188, ""CastingTimeIndex"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": ""Dealing direct Frost damage has a $s1% chance to freeze the target for $12494d.  The freeze breaks on damage. |cFF9D9D9D\n\nCapstone Bonus: Increases the damage of your Frost spells against frozen targets based on your Mastery.|r"", ""EffectBasePoints_2"": -1, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EffectDieSides_2"": 1, ""EffectSpellClassMaskA_2"": 4096, ""EffectSpellClassMaskB_2"": 4096, ""EquippedItemClass"": -1, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": ""Rank 1"", ""Name_Lang_Mask"": 16712190, ""ProcChance"": 5, ""ProcTypeMask"": 65536, ""RangeIndex"": 1, ""SpellClassMask_2"": 512, ""SpellClassSet"": 3, ""SpellLevel"": 1, ""SpellPriority"": 50}",pulled from existing data
